spot_id,payment_id,payment_app,name,address,street_side,neighborhood,municipality,type,ownership,lat,lon,pricing_summary,space_count,capacity,permit_zone,snow_emergency_tow,accessible,accessible_spaces,accessible_type,ev_charging,ev_charger_count,ev_network,source,source_date,last_updated,data_completeness
cambridge_meter_CAMB-0753,2498,PayByPhone,CAMB-0753,,unknown,East Cambridge,Cambridge,on_street_meter,public,42.37233989665635,-71.08958603411976,Mon-Sat 08:00-18:00 $1.25/hr (2 hour max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_CAMB-0751,2498,PayByPhone,CAMB-0751,,unknown,East Cambridge,Cambridge,on_street_meter,public,42.37231367607369,-71.0894217525614,Mon-Sat 08:00-18:00 $1.25/hr (2 hour max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_APP-0020,6860,PayByPhone,APP-0020,,unknown,Harvard Square,Cambridge,on_street_meter,public,42.37539390457329,-71.12166258411077,Mon-Sat 08:00-20:00 $2.00/hr (2 hour max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_MASS-1590,2519,PayByPhone,MASS-1590,,unknown,Harvard Square,Cambridge,on_street_meter,public,42.37933422683823,-71.12024596175468,Mon-Sat 08:00-20:00 $2.00/hr (2 hour max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_THRD-0070,2482,PayByPhone,THRD-0070,,unknown,Cambridge,Cambridge,on_street_meter,public,42.37055696545039,-71.07990882638254,Mon-Sat 08:00-18:00 $1.25/hr (2 hour max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_THRD-0068,2482,PayByPhone,THRD-0068,,unknown,Cambridge,Cambridge,on_street_meter,public,42.370611640147004,-71.07989574790153,Mon-Sat 08:00-18:00 $1.25/hr (2 hour max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_THRD-0066,2482,PayByPhone,THRD-0066,,unknown,Cambridge,Cambridge,on_street_meter,public,42.370665426510726,-71.07988287513274,Mon-Sat 08:00-18:00 $1.25/hr (2 hour max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_THRD-0064,2482,PayByPhone,THRD-0064,,unknown,Cambridge,Cambridge,on_street_meter,public,42.37072003540074,-71.07986981184632,Mon-Sat 08:00-18:00 $1.25/hr (2 hour max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_THRD-0062,2482,PayByPhone,THRD-0062,,unknown,Cambridge,Cambridge,on_street_meter,public,42.37077365725455,-71.07985697713266,Mon-Sat 08:00-18:00 $1.25/hr (2 hour max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_THRD-0060,2482,PayByPhone,THRD-0060,,unknown,Cambridge,Cambridge,on_street_meter,public,42.370824235845745,-71.07984487313509,Mon-Sat 08:00-18:00 $1.25/hr (2 hour max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_MASS-1626,2521,PayByPhone,MASS-1626,,unknown,Cambridge,Cambridge,on_street_meter,public,42.38070238855118,-71.11996727487956,Mon-Sat 08:00-20:00 $1.25/hr (2 hour max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_MASS-1620,2521,PayByPhone,MASS-1620,,unknown,Cambridge,Cambridge,on_street_meter,public,42.380534883728615,-71.11998323115006,Mon-Sat 08:00-20:00 $1.25/hr (2 hour max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_MASS-1618,2521,PayByPhone,MASS-1618,,unknown,Cambridge,Cambridge,on_street_meter,public,42.38047744480645,-71.11998985353497,Mon-Sat 08:00-20:00 $1.25/hr (2 hour max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_MASS-1616,2521,PayByPhone,MASS-1616,,unknown,Cambridge,Cambridge,on_street_meter,public,42.380417578765666,-71.11999606393046,Mon-Sat 08:00-20:00 $1.25/hr (2 hour max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_MASS-1614,2521,PayByPhone,MASS-1614,,unknown,Cambridge,Cambridge,on_street_meter,public,42.38035451985927,-71.12000430879277,Mon-Sat 08:00-20:00 $1.25/hr (2 hour max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_MASS-1612,2521,PayByPhone,MASS-1612,,unknown,Cambridge,Cambridge,on_street_meter,public,42.38029137641545,-71.1200118833096,Mon-Sat 08:00-20:00 $1.25/hr (2 hour max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_MASS-1610,2521,PayByPhone,MASS-1610,,unknown,Cambridge,Cambridge,on_street_meter,public,42.38023202926797,-71.12001900566345,Mon-Sat 08:00-20:00 $1.25/hr (2 hour max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_MASS-1608,2521,PayByPhone,MASS-1608,,unknown,Cambridge,Cambridge,on_street_meter,public,42.38017314637466,-71.12002655866443,Mon-Sat 08:00-20:00 $1.25/hr (2 hour max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_MASS-1677,2521,PayByPhone,MASS-1677,,unknown,Porter Square,Cambridge,on_street_meter,public,42.382407041689085,-71.11954496273543,Mon-Sat 08:00-20:00 $1.25/hr (2 hour max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_MASS-1675,2521,PayByPhone,MASS-1675,,unknown,Porter Square,Cambridge,on_street_meter,public,42.382362654614234,-71.1195500766364,Mon-Sat 08:00-20:00 $1.25/hr (2 hour max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_MASS-1673,2521,PayByPhone,MASS-1673,,unknown,Porter Square,Cambridge,on_street_meter,public,42.382308773147116,-71.11955542277016,Mon-Sat 08:00-20:00 $1.25/hr (2 hour max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_MASS-1671,2521,PayByPhone,MASS-1671,,unknown,Porter Square,Cambridge,on_street_meter,public,42.382258092444076,-71.11955962236247,Mon-Sat 08:00-20:00 $1.25/hr (2 hour max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_MASS-1695,2521,PayByPhone,MASS-1695,,unknown,Porter Square,Cambridge,on_street_meter,public,42.38298114364212,-71.11947885060576,Mon-Sat 08:00-20:00 $1.25/hr (2 hour max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_MASS-1693,2521,PayByPhone,MASS-1693,,unknown,Porter Square,Cambridge,on_street_meter,public,42.38293523636413,-71.1194839131375,Mon-Sat 08:00-20:00 $1.25/hr (2 hour max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_MASS-1691,2521,PayByPhone,MASS-1691,,unknown,Porter Square,Cambridge,on_street_meter,public,42.38287748652836,-71.11949031763756,Mon-Sat 08:00-20:00 $1.25/hr (2 hour max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_MASS-1689,2521,PayByPhone,MASS-1689,,unknown,Porter Square,Cambridge,on_street_meter,public,42.38281772957269,-71.11949666873556,Mon-Sat 08:00-20:00 $1.25/hr (2 hour max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_MASS-1733,2523,PayByPhone,MASS-1733,,unknown,Porter Square,Cambridge,on_street_meter,public,42.384189336399665,-71.11934894260389,Mon-Sat 08:00-20:00 $1.25/hr (2 hour max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_MASS-1735,2523,PayByPhone,MASS-1735,,unknown,Porter Square,Cambridge,on_street_meter,public,42.38424873650482,-71.11934261442791,Mon-Sat 08:00-20:00 $1.25/hr (2 hour max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_MASS-1737,2523,PayByPhone,MASS-1737,,unknown,Porter Square,Cambridge,on_street_meter,public,42.38429432105536,-71.1193378819006,Mon-Sat 08:00-20:00 $1.25/hr (2 hour max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_MASS-1763,2523,PayByPhone,MASS-1763,,unknown,Porter Square,Cambridge,on_street_meter,public,42.385275195874975,-71.1192299791265,Mon-Sat 08:00-20:00 $1.25/hr (2 hour max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_MASS-1761,2523,PayByPhone,MASS-1761,,unknown,Porter Square,Cambridge,on_street_meter,public,42.3852171599753,-71.11923668286029,Mon-Sat 08:00-20:00 $1.25/hr (2 hour max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_MASS-1759,2523,PayByPhone,MASS-1759,,unknown,Porter Square,Cambridge,on_street_meter,public,42.38515717999162,-71.11924367219773,Mon-Sat 08:00-20:00 $1.25/hr (2 hour max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_MASS-1775,2523,PayByPhone,MASS-1775,,unknown,Porter Square,Cambridge,on_street_meter,public,42.38572407317954,-71.11918281489841,Mon-Sat 08:00-20:00 $1.25/hr (2 hour max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_MASS-1773,2523,PayByPhone,MASS-1773,,unknown,Porter Square,Cambridge,on_street_meter,public,42.38566423979861,-71.1191893248106,Mon-Sat 08:00-20:00 $1.25/hr (2 hour max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_MASS-1769,2523,PayByPhone,MASS-1769,,unknown,Porter Square,Cambridge,on_street_meter,public,42.3855521441308,-71.11920396594583,Mon-Sat 08:00-20:00 $1.25/hr (2 hour max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_MASS-1771,2523,PayByPhone,MASS-1771,,unknown,Porter Square,Cambridge,on_street_meter,public,42.385607663625265,-71.11919531747465,Mon-Sat 08:00-20:00 $1.25/hr (2 hour max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_MASS-1767,2523,PayByPhone,MASS-1767,,unknown,Porter Square,Cambridge,on_street_meter,public,42.38549083063201,-71.11920756368204,Mon-Sat 08:00-20:00 $1.25/hr (2 hour max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_MASS-1782,2524,PayByPhone,MASS-1782,,unknown,Porter Square,Cambridge,on_street_meter,public,42.3857648128405,-71.11941732611619,Mon-Sat 08:00-20:00 $1.50/hr (30 minute max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_MASS-1784,2523,PayByPhone,MASS-1784,,unknown,Porter Square,Cambridge,on_street_meter,public,42.385815419186486,-71.11941077802139,Mon-Sat 08:00-20:00 $1.25/hr (2 hour max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_MASS-1786,2523,PayByPhone,MASS-1786,,unknown,Porter Square,Cambridge,on_street_meter,public,42.38588657255457,-71.11940406737726,Mon-Sat 08:00-20:00 $1.25/hr (2 hour max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_MASS-1788,2523,PayByPhone,MASS-1788,,unknown,Porter Square,Cambridge,on_street_meter,public,42.38595196488456,-71.1193965659587,Mon-Sat 08:00-20:00 $1.25/hr (2 hour max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_MASS-1790,2523,PayByPhone,MASS-1790,,unknown,Porter Square,Cambridge,on_street_meter,public,42.386006053483406,-71.1193921030279,Mon-Sat 08:00-20:00 $1.25/hr (2 hour max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_MASS-1792,2523,PayByPhone,MASS-1792,,unknown,Porter Square,Cambridge,on_street_meter,public,42.38605851003963,-71.11938766696753,Mon-Sat 08:00-20:00 $1.25/hr (2 hour max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_MASS-1793,2523,PayByPhone,MASS-1793,,unknown,Porter Square,Cambridge,on_street_meter,public,42.38648664207461,-71.11909847792154,Mon-Sat 08:00-20:00 $1.25/hr (2 hour max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_MASS-1789,2523,PayByPhone,MASS-1789,,unknown,Porter Square,Cambridge,on_street_meter,public,42.38637922967784,-71.1191096412502,Mon-Sat 08:00-20:00 $1.25/hr (2 hour max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_MASS-1791,2523,PayByPhone,MASS-1791,,unknown,Porter Square,Cambridge,on_street_meter,public,42.386431870768824,-71.11910440180559,Mon-Sat 08:00-20:00 $1.25/hr (2 hour max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_MASS-1950,2525,PayByPhone,MASS-1950,,unknown,Porter Square,Cambridge,on_street_meter,public,42.38954066837144,-71.1202854099513,Mon-Sat 08:00-20:00 $1.25/hr (2 hour max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_MASS-1952,2525,PayByPhone,MASS-1952,,unknown,Porter Square,Cambridge,on_street_meter,public,42.389582055768535,-71.12033475386109,Mon-Sat 08:00-20:00 $1.25/hr (2 hour max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_MASS-1954,2525,PayByPhone,MASS-1954,,unknown,Porter Square,Cambridge,on_street_meter,public,42.38962797731831,-71.12037415554188,Mon-Sat 08:00-20:00 $1.25/hr (2 hour max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_MASS-1956,2525,PayByPhone,MASS-1956,,unknown,Porter Square,Cambridge,on_street_meter,public,42.38967243698414,-71.1204202724309,Mon-Sat 08:00-20:00 $1.25/hr (2 hour max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_MASS-1973,2525,PayByPhone,MASS-1973,,unknown,Porter Square,Cambridge,on_street_meter,public,42.39006969614206,-71.1205506881789,Mon-Sat 08:00-20:00 $1.25/hr (2 hour max),1,,,False,True,1,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_MASS-1977,2525,PayByPhone,MASS-1977,,unknown,Porter Square,Cambridge,on_street_meter,public,42.390152911741424,-71.12065123727041,Mon-Sat 08:00-20:00 $1.25/hr (2 hour max),1,,,False,True,1,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_MASS-1979,2525,PayByPhone,MASS-1979,,unknown,Porter Square,Cambridge,on_street_meter,public,42.39019303999353,-71.12069986228734,Mon-Sat 08:00-20:00 $1.25/hr (2 hour max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_MASS-1981,2525,PayByPhone,MASS-1981,,unknown,Porter Square,Cambridge,on_street_meter,public,42.39023466294846,-71.12075048521916,Mon-Sat 08:00-20:00 $1.25/hr (2 hour max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_MASS-2044,2525,PayByPhone,MASS-2044,,unknown,Porter Square,Cambridge,on_street_meter,public,42.39091502665483,-71.12246928109656,Mon-Sat 08:00-20:00 $1.25/hr (2 hour max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_MASS-2046,2525,PayByPhone,MASS-2046,,unknown,Porter Square,Cambridge,on_street_meter,public,42.3909447286228,-71.12253694947042,Mon-Sat 08:00-20:00 $1.25/hr (2 hour max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_MASS-2048,2525,PayByPhone,MASS-2048,,unknown,Porter Square,Cambridge,on_street_meter,public,42.390973428245026,-71.12260131239569,Mon-Sat 08:00-20:00 $1.25/hr (2 hour max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_MASS-2050,2525,PayByPhone,MASS-2050,,unknown,Porter Square,Cambridge,on_street_meter,public,42.39100242122332,-71.12266482313825,Mon-Sat 08:00-20:00 $1.25/hr (2 hour max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_MASS-2092,2525,PayByPhone,MASS-2092,,unknown,Porter Square,Cambridge,on_street_meter,public,42.39141756622915,-71.12352086169702,Mon-Sat 08:00-20:00 $1.25/hr (2 hour max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_MASS-2094,2525,PayByPhone,MASS-2094,,unknown,Porter Square,Cambridge,on_street_meter,public,42.391451826257565,-71.12357939028398,Mon-Sat 08:00-20:00 $1.25/hr (2 hour max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_MASS-2096,2525,PayByPhone,MASS-2096,,unknown,Porter Square,Cambridge,on_street_meter,public,42.39148812952286,-71.12363817237969,Mon-Sat 08:00-20:00 $1.25/hr (2 hour max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_MASS-2100,2525,PayByPhone,MASS-2100,,unknown,Porter Square,Cambridge,on_street_meter,public,42.391567383436225,-71.12376339010069,Mon-Sat 08:00-20:00 $1.25/hr (2 hour max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_MASS-2098,2525,PayByPhone,MASS-2098,,unknown,Porter Square,Cambridge,on_street_meter,public,42.39152680788878,-71.12370025054295,Mon-Sat 08:00-20:00 $1.25/hr (2 hour max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_MASS-2102,2525,PayByPhone,MASS-2102,,unknown,Porter Square,Cambridge,on_street_meter,public,42.391607982351296,-71.12382372036247,Mon-Sat 08:00-20:00 $1.25/hr (2 hour max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_MASS-2105,2525,PayByPhone,MASS-2105,,unknown,Porter Square,Cambridge,on_street_meter,public,42.39169769108747,-71.12360792584931,Mon-Sat 08:00-20:00 $1.25/hr (2 hour max),1,,,False,True,1,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_MASS-2103,2525,PayByPhone,MASS-2103,,unknown,Porter Square,Cambridge,on_street_meter,public,42.39165879264529,-71.12354857667927,Mon-Sat 08:00-20:00 $1.25/hr (2 hour max),1,,,False,True,1,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_MASS-2101,2525,PayByPhone,MASS-2101,,unknown,Porter Square,Cambridge,on_street_meter,public,42.39162403391143,-71.12349336264758,Mon-Sat 08:00-20:00 $1.25/hr (2 hour max),1,,,False,True,1,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_MASS-2099,2525,PayByPhone,MASS-2099,,unknown,Porter Square,Cambridge,on_street_meter,public,42.391589440347715,-71.12343716485512,Mon-Sat 08:00-20:00 $1.25/hr (2 hour max),1,,,False,True,1,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_MASS-2143,2527,PayByPhone,MASS-2143,,unknown,Porter Square,Cambridge,on_street_meter,public,42.391977801566476,-71.1239858821243,Mon-Sat 08:00-18:00 $1.25/hr (2 hour max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_MASS-2141,2527,PayByPhone,MASS-2141,,unknown,Porter Square,Cambridge,on_street_meter,public,42.39193497068793,-71.12393223682065,Mon-Sat 08:00-18:00 $1.25/hr (2 hour max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_MASS-2139,2527,PayByPhone,MASS-2139,,unknown,Porter Square,Cambridge,on_street_meter,public,42.391893691986475,-71.12388077131132,Mon-Sat 08:00-18:00 $1.25/hr (2 hour max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
