STREET,LATITUDE,LONGITUDE,PAY_POLICY,PARK_NO_PAY,BASE_RATE,PAY_HOURS,PAY_DAYS,PAY_RATE,PAY_MAX_MINS,SLOT_COUNT
A STREET,42.346326392857144,-71.05163975,10:00AM-06:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-10:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",0.25,10:00AM-06:00PM,MON-SAT,$0.25,120,56
ALBANY ST,42.33785390625,-71.06739275,08:00AM-06:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",0.25,08:00AM-06:00PM,MON-SAT,$0.25,120,96
ALCORN ST,42.353520555555555,-71.12294700000001,08:00AM-06:00PM MON-SAT $0.25 240,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",0.25,08:00AM-06:00PM,MON-SAT,$0.25,240,9
ARCH ST,42.35510513333334,-71.05839073333333,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",0.25,08:00AM-08:00PM,MON-SAT,$0.25,120,15
ARLINGTON ST,42.35283168,-71.0712822,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",0.25,08:00AM-08:00PM,MON-SAT,$0.25,120,25
ASHFORD ST,42.35402244444444,-71.12300488888889,08:00AM-06:00PM MON-SAT $0.25 240,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",0.25,08:00AM-06:00PM,MON-SAT,$0.25,240,36
ATLANTIC AV,42.3584928490566,-71.05239522641509,08:00AM-06:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",0.25,08:00AM-06:00PM,MON-SAT,$0.25,120,53
AV DE LAFAYETTE,42.352932037037036,-71.06029781481482,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",0.25,08:00AM-08:00PM,MON-SAT,$0.25,120,27
BABCOCK ST,42.353489888888895,-71.12084999999999,08:00AM-06:00PM MON-SAT $0.25 240,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",0.25,08:00AM-06:00PM,MON-SAT,$0.25,240,9
BATTERYMARCH SHORT ARM,42.3575924,-71.053639,08:00AM-08:00PM SAT $0.25 120,"00:00AM-24:00AM SUN-FRI, 00:00AM-08:00AM SAT, 08:00PM-24:00AM SAT",0.25,08:00AM-08:00PM,SAT,$0.25,120,5
BATTERYMARCH ST,42.35732007142857,-71.05391092857143,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",0.25,08:00AM-08:00PM,MON-SAT,$0.25,120,42
BAY STATE RD,42.35027594285714,-71.09948892571428,08:00AM-06:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",0.25,08:00AM-06:00PM,MON-SAT,$0.25,120,175
BEACH ST,42.351175454545455,-71.0600700909091,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",0.25,08:00AM-08:00PM,MON-SAT,$0.25,120,22
BEACON ST,42.3494656120332,-71.09554303112034,08:00AM-06:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",0.25,08:00AM-06:00PM,MON-SAT,$0.25,120,482
BEDFORD ST,42.353354625,-71.05943425,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",0.25,08:00AM-08:00PM,MON-SAT,$0.25,120,8
BELVIDERE ST,42.346224171428574,-71.08558542857143,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",0.25,08:00AM-08:00PM,MON-SAT,$0.25,120,35
BERKELEY ST,42.35055364383562,-71.0727103630137,08:00AM-06:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",0.25,08:00AM-06:00PM,MON-SAT,$0.25,120,146
BERKELEY ST B-N,42.351573,-71.073508,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",0.25,08:00AM-08:00PM,MON-SAT,$0.25,120,1
